course_code,subject,number,section,title,description,prerequisites,corequisites,restrictions,notes,delivery,source_file
COSC 3P99,COSC,3P99,,",","4F90 , MATH 2P12 , 2P92 , 2P97 , 3P12 , 3P73, 4P71 , 4P92 , STAT 2P81 , 2P98 . Co-op Program The Computer Science Co-op program combines academic and work terms over a four and one-half year period. Students spend one and one-half years in an academic setting studying the fundamentals of computer programming, computer organization, algorithms, data structures and ethics prior to their first work placement. Successful completion of courses in the core areas of Computer Science provides the necessary academic background for the work experience. In addition to the current fees for courses in academic study terms, Co-op students are assessed an annual administration fee (see the Schedule of Fees ). Eligibility to continue is based on the student's major average and non-major average. Students will be required to maintain a minimum 70 percent major average and a minimum 60 percent non-major average in order to continue in the Co-op program. If a student subsequently raises the student's major average to 70 percent, the student may be readmitted only if approved by the Computer Science Co-op Admissions Committee. All students in the Co-operative Education program are required to read, sign and adhere to the terms of the Student Regulations Waiver and Co-op Student Manual (brocku.ca/co-op/current-students/co-op-student-manuals) as articulated by the Co-op Programs Office. In addition, eligibility to continue in the co-op option is based on the student's major average and non-major average, and the ability to demonstrate the motivation and potential to pursue a professional career. Students must register for each four-month co-operative education work term. Once students are registered in a co-op work term, they are expected to fulfill their commitment. If the placement accepted is for more than one four-month work term, students are committed to complete all terms. Students may not withdraw from or terminate a work term without permission from the Director, Co-op Program Office. The Computer Science Co-op program designation will be awarded to those students who have honours standing and have successfully completed a minimum of twelve months Co-op work experience. Applied Computing (APCO) Courses Courses with the APCO designation are intended for non-Computer Science majors who recognize the need for fluency in computing as a part of their undergraduate program. These courses may be taken individually or as part of a minor.",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
APCO 1P00,APCO,1P00,,",","1P01 , 1P30 , 1P50 and 1P93 may each be taken as a first APCO course.",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
APCO 1P00,APCO,1P00,,is a non-technical introduction to programming and requires no previous experience.,"APCO 1P01 discusses software tools for word processing, spreadsheets, presentations, databases and searching the internet and anticipates previous exposure to computer use.",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
APCO 1P30,APCO,1P30,,involves programming for interactive media and assumes no prior programming experience but does assume familiarity with computer applications.,,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
APCO 1P50,APCO,1P50,,considers effective and ethical use of computers for information acquisition and dissemination. It requires no previous computing skill.,,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
APCO 1P93,APCO,1P93,,will usually serve as a second programming course but can also serve as an introductory programming course for those who need a more technical introduction to programming.,"APCO courses do not count as major credit for COSC (single or combined) majors, Computing and Business , Computing and Network Communications and Computing and Solid-State Device Technology students. Department Facilities A campus-wide fibre optic network links all the University's academic computing facilities including the department's computers. Campus-wide WiFi provides access to this network from anywhere on campus. The department maintains a 16 core Redhat Linux server that supports the departmental labs and provides students with access to their files wherever they can connect via the internet. The department has three computer laboratories: D205, J301 and J310 containing multi-core Intel processor computers running both Windows and Linux operating systems with access to development environments, database systems and other special purpose software used in the courses. Major Credits In calculating the major average for a Computer Science major or co-major, all COSC courses, MATH 1P66 and 1P67 are included. Mathematics in Computer Science Mathematics is fundamental to the study of Computer Science and thus MATH credits are required in each of the various programs. In order to be more competitive in the workplace and if considering graduate studies, students are strongly encouraged to take as many MATH courses as possible. Computer Hardware Students interested in computer hardware are advised to elect PHYS 2P30 and 3P92 within their Computer Science program. PHYS 1P21 or 1P91 (recommended) and either PHYS 1P22 or 1P92 (recommended) are required as a prerequisite for PHYS 2P30 . Program Notes 1. In choosing electives, students could consider: ENTR 2P51 , FNCE 2P51 , IASC 2P01 , MKTG 2P51 , OPER 2P51 , PHIL 2P25 , WRDS 2P14 and, if considering graduate school, additional MATH courses. Students are advised to take special care in selecting elective credits (both COSC and general), especially in year three, to ensure access to subsequent courses required to complete the four-year programs. 2. MATH 1P05 and 1P06 for Chemistry ; MATH 1P97 and STAT 1P98 for Earth Sciences . 3. One elective credit if the required course in year 1 in the other discipline is a Social Sciences context credit or Humanities context credit for the combined degree with Social Sciences context credit or Humanities context credit, respectively. 4. Students may take MATH 1P05 and 1P06 in place of MATH 1P97 and STAT 1P98 in year 1. STAT 1P98 would then be taken in year 2 in place of a one-half credit elective. 5. For students with a special interest in geographic information systems, the following courses are strongly recommended as GEOG and COSC elective credits: GEOG 3P04 , 3P05 , 3P07 ,",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 3P98,COSC,3P98,,.,6. The Computer Science and Visual Arts program is limited to 5 students. 7. Students planning on attending graduate school should consider two additional credits from,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 3P99,COSC,3P99,,",","4F90 , 4P03 , 4P42 , MATH 2P12 , 2P92 , 2P97 , 3P12 , 3P73, 4P71 , 4P92 , STAT 2P81 , 2P98 . 8. In 20 credit degree programs a maximum of eight credits may be numbered 1 (alpha) 00 to 1 (alpha) 99; at least three credits must be numbered 2 (alpha) 90 or above; at least three credits must be numbered 3 (alpha) 90 or above; and the remaining credits must be numbered 2 (alpha) 00 or above. In some circumstances, in order to meet university degree and program requirements, more than 20 credits may be taken. Honours Program Year 1",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,1P03,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,or,1P71 MATH 1P66 and 1P67 one Humanities context credit one Social Sciences context credit one-half elective credit (see program note 1 ) Year 2,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 MATH 1P12 STAT 1P98 two elective credits (see program notes 1 , 7, and 8) Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 3P03,COSC,3P03,,",","3P32 and 3P71 MATH 1P05 and 1P06 one COSC credit numbered 2(alpha)00 or higher (see program notes 7 and 8 ) one and one-half elective credits numbered 2 (alpha) 00 or above(see program notes 1 , 7, and 8) Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,",","4P02 and 4P61 two COSC credits numbered 3(alpha)00 or higher ( see program notes 7 and 8 ) one and one-half elective credits numbered 2 (alpha) 00 or above (see program notes 1 , 7, and 8) Computer Science Co-op (honours only) Students admitted to the Computer Science program must follow an approved program pattern. The most common pattern is listed below. For other approved patterns, consult the Co-op Office. Failure to adhere to an approved pattern may result in removal from the program. Year 1",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,1P03,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,or,1P71 MATH 1P66 and 1P67 one Humanities context credit one Social Sciences context credit one-half elective credit (see program note 1 ) Winter Term: SCIE 0N90 Year 2 Fall Term:,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,and,2P12 MATH 1P12 one-half COSC credit (,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P89,COSC,2P89,,recommended),one-half elective credit (see program notes 1 and 8 ) Winter Term:,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 0N01,COSC,0N01,,and,2C01 Spring/Summer Sessions:,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P13,COSC,2P13,,and,3P32 STAT 1P98 one elective credit (see program notes 1 and 8 ) Year 3 Fall Term:,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 0N02,COSC,0N02,,and,2C02 Winter Term:,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P05,COSC,2P05,,one COSC credit numbered 2(alpha)00 or higher,one elective credit numbered 2 (alpha) 00 or above(see program notes 1 and 8 ) Spring/Summer Sessions:,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 0N03,COSC,0N03,,and,2C03 Year 4,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 3P03,COSC,3P03,,",","3P71 , 4P01 and 4P02 MATH 1P05 and 1P06 one-half COSC credit numbered 3(alpha)00 or higher (see program note 8 ) one and one-half elective credits numbered 2 (alpha) 00 or above(see program notes 1 and 8 ) Year 5 Fall Term:",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P61,COSC,4P61,,one COSC credit numbered 3(alpha)00 or higher (see,program note 8 ) one elective credit numbered 2 (alpha) 00 or above (see program note 1 and 8 ) BSc with Major Program Year 1,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,1P03,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,or,1P71 MATH 1P66 and 1P67 one Humanities context credit one Social Sciences context credit one-half elective credit (see program note 1 ) Year 2,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 MATH 1P12 STAT 1P98 two elective credits (see program notes 1 and 8 ) Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 3P03,COSC,3P03,,",",3P32 and 3P71 MATH 1P05 and 1P06 ; or MATH 1P97 and one of,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P61,COSC,4P61,,",","MATH 2P12 , 2P90 , 2P91 , 2P92 , 2P94 , 4P71 , STAT 2P98 one COSC credit numbered 2(alpha)00 or higher ( see program note 8 ) one and one-half elective credits numbered 2 (alpha) 00 or above (see program notes 1 and 8 ) Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,",",4P02 One of,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P61,COSC,4P61,,",","MATH 2P12 , 2P90 , 2P91 , 2P92 , 2P94 , 4P71 , STAT 2P98 two COSC credits numbered 3(alpha)00 or higher ( see program note 8 ) one and one-half elective credits numbered 2 (alpha) 00 or above (see program notes 1 and 8 ) Computer Science as a Second Degree Program A student holding an honours or Pass degree in another discipline may obtain a BSc (Honours) in Computer Science or a BSc with a Major in Computer Science. Students should refer to the University regulations concerning ""Requirements for a Second or Subsequent Degree"" section for further information. Previous or transfer credits may be used to satisfy some of the following requirements. Applicants must be able to demonstrate an acceptable level of fluency and accuracy in spoken and written English. Prior to admission, an applicant holding a degree from a non-Canadian university will be required to provide evidence of English language proficiency as demonstrated through one of the means outlined in the ""Proof of Proficiency in English"" section. The additional courses taken for a second degree in Computer Science must include a minimum of five Brock COSC credits. All elective credits should be numbered 2 (alpha) 00 or above. A second-degree program is often taken as part-time study since the normal prerequisite structure requires a minimum of four years of study. A student wishing to pursue full-time study can usually complete the program in three years by following the pattern of study below. Honours Year 1",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,",",1P03 and,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,MATH 1P12,", 1P66 , 1P67 STAT 1P98 Spring/Summer Sessions:",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,Year 2,,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P05,COSC,2P05,,",","2P12 , 2P13 , 3P03 , 3P32 and 3P71 MATH 1P05 and 1P06 Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,",",4P02 and 4P61 one COSC credit two COSC credits numbered 3 (alpha) 90 or above BSc with Major Year 1,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,",",1P03 and,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,MATH 1P12,", 1P66 , 1P67 STAT 1P98 Spring/Summer Sessions:",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,Year 2,,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P05,COSC,2P05,,",","2P12 , 2P13 , 3P03 , 3P32 and 3P71 MATH 1P05 and 1P06 ; or MATH 1P97 and one of",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P61,COSC,4P61,,",","MATH 2P12 , 2P90 , 2P91 , 2P92 , 2P94 , 4P71 , STAT 2P98 Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,",",4P02 and one of,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P61,COSC,4P61,,",","MATH 2P12 , 2P90 , 2P91 , 2P92 , 2P94 , 4P71 , STAT 2P98 one COSC credit two COSC credits numbered 3 (alpha) 90 or above Combined Major Program Students may take a combined major in Computer Science and a second discipline. For requirements in the other discipline, the student should consult the relevant department/centre. It should be noted that not all departments/centres provide a combined major option. BSc (honours) Computer Science and another Science Year 1",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,1P03 MATH 1P66 and 1P67 one MATH credit (see program note 2 ) one credit in the co-major discipline one Social Sciences context credit Year 2,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 two credits in the co-major discipline one Humanities context credit Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,COSC 3P03,", 3P32 and 3P71 MATH 1P12 STAT 1P98 two credits in co-major discipline Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,and,4P02 one COSC credit numbered 3 (alpha) 90 or above two credits in the co-major discipline numbered 3 (alpha) 90 or above one elective credit BSc (honours) Computer Science and Mathematics Year 1,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,"1P03 MATH 1P01 , 1P02, 1P66 and 1P67 one Humanities context credit one Social Sciences context credit Year 2",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 MATH 1P11 , 1P40 , and 2P03 STAT 2P81 one elective credit Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,COSC 2P95,", 3P03 and 3P32 MATH 2P40 MATH 2P12 or 2P92 STAT 2P82 one-half MATH credit (see program note 8 ) one elective credit Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,and,4P02 one COSC credit numbered 3 (alpha) 90 or above MATH 3P60 and 4P61 one-half MATH credit (see program note 8 ) one-half MATH credit numbered 3 (alpha) 90 or above (see program note 8 ) one elective credit numbered 2 (alpha) 00 or above BSc Computer Science and Mathematics Co-op (honours only) Consult the Mathematics entry for a listing of program requirements. BSc (honours) Computer Science and Physics Consult the Physics entry for a listing of program requirements. BA (honours; with Major) or BSc (honours; with Major) Computer Science and a Humanities or a Social Sciences Year 1,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,1P03 MATH 1P66 and 1P67 one credit in the co-major discipline one Humanities context credit (see program note 3 ) one Social Sciences context credit (see program note 3 ) Year 2,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 two credits in the co-major discipline one elective credit Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,COSC 3P03,", 3P32 and 3P71 MATH 1P97 STAT 1P98 two credits in the co-major discipline Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,and,4P02 one COSC credit numbered 3 (alpha) 90 or above two credits in the co-major discipline numbered 3 (alpha) 90 or above one elective credit BSc (Honours) Computer Science and Visual Arts Year 1,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,"1P03 VISA 1P95 , 1P96 , 1Q98 and 1Q99 MATH 1P66 and 1P67 one Social Sciences context credit Year 2",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 VISA 2P61 and 2P96 one VISA credit numbered 2 (alpha) 00 or above ( VISA 2P97 and 2P98 recommended) one elective credit Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,COSC 3P03,", 3P32 and 3P71 one VISA credit numbered 3 (alpha) 00 or above (VISA 3F96 recommended) MATH 1P12 and 1P97 one elective credit numbered 2 (alpha) 00 or above Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P89,COSC,2P89,,",","3P98 , 4P01 and 4P02 one VISA credit numbered 2 (alpha) 00 or above one and one-half VISA credits numbered 3 (alpha) 90 or above STAT 1P98 BA (honours) or BSc (honours) Computer Science and Economics Year 1",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,"1P03 ECON 1P91 and 1P92 MATH 1P66 , 1P67 , and 1P97 (see program note 4 ) STAT 1P98 (see program note 4 ) one Humanities context credit Year 2",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 ECON 2P21 , 2P22 and 2P30 one-half ECON credit one elective credit Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,COSC 3P03,", 3P32 and 3P71 ECON 2P90 , 3P21 , 3P22 and 3Q91 one elective credit Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,and,"4P02 one COSC credit numbered 3 (alpha) 90 or above ECON 3P90 , 4P13 and 4P14 one-half ECON credit numbered 2 (alpha) 90 or above one elective credit BA (honours) Computer Science and Geography Year 1",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,"1P03 one credit from GEOG 1P01 , 1P02, 1P03 MATH 1P66 and 1P67 one Humanities context credit one elective credit Year 2",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 GEOG 2P07 and 2P21 one GEOG credit numbered 2 (alpha) 00 to 2 (alpha) 99 from Group A or D (see Geography department) MATH 1P97 STAT 1P98 Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,COSC 3P03,", 3P32 and 3P71 GEOG 3P21 and 3P57 one and one-half GEOG credits numbered 2 (alpha) 90 to 3 (alpha) 99 from Group A, C or D (see Geography department; see program note 5 ) one-half elective credit Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,and,"4P02 one COSC credit numbered 3 (alpha) 90 or above (see program note 5 ) GEOG 4F99 one GEOG credit numbered 3 (alpha) 90 or above from Group A, C or D (see Geography department) one elective credit BSc (honours) Computer Science and Geography Year 1",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,"1P03 one credit from GEOG 1P10 , 1P11 , 1P12 MATH 1P66 and 1P67 one Humanities context credit one Social Sciences context credit Year 2",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 GEOG 2P07 , 2P08 and 2P21 GEOG 2P05 or 2P18 MATH 1P97 STAT 1P98 Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,COSC 3P03,", 3P32 and 3P71 GEOG 3P21 and 3P56 one and one-half GEOG credits numbered 2 (alpha) 90 to 3 (alpha) 99 from Group B, C or D (see Geography department; see program note 5 ) one-half elective credit Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,and,"4P02 one COSC credit numbered 3 (alpha) 90 or above (see program note 5 ) GEOG 4F99 one GEOG credit numbered 3 (alpha) 90 or above from Group B, C or D (see Geography department) one elective credit Concentration Program Artificial Intelligence Concentration in Software Engineering This concentration does not lead to a professional engineering degree. Students can earn a Concentration in Software Engineering by successfully completing the courses listed below as part of their academic work leading to an Honours BSc in Computer Science degree:",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P13 , 3P03 , 3P32 , 3P71 , 4P01 , 4P02 , and 4P61 two credits from",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 3P92,COSC,3P92,,",","3P94 , 3P95 , 3P97 , 3P99 , 4F90 , 4P03 , 4P13 , 4P14 . 4P42 Concentration in Artificial Intelligence Students can earn a Concentration in Artificial Intelligence by successfully completing the courses listed below as part of their academic work leading to an Honours BSc in Computer Science degree:",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P13 , 3P03 , 3P32 , 3P71 , 4P01 , 4P02 and 4P61 two credits from",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
